NUMÛRO;NOM;REGION;CHEF LIEU;SUPERFICIE (km_);POPULATION;DENSITE (habitants/km2)
1;Ain;Auvergne-RhÈne-Alpes;Bourg-en-Bresse;5_762;631_877;109,7
2;Aisne;Hauts-de-France;Laon;7_369;538_659;73,1
3;Allier;Auvergne-RhÈne-Alpes;Moulins;7_340;341_613;46,5
4;Alpes-de-Haute-Provence;Provence-Alpes-CÈte d'Azur;Digne;6_925;161_799;23,4
5;Hautes-Alpes;Provence-Alpes-CÈte d'Azur;Gap;5_549;140_916;25,4
6;Alpes-Maritimes;Provence-Alpes-CÈte d'Azur;Nice;4_299;1_082_440;251,8
7;Ardeche;Auvergne-RhÈne-Alpes;Privas;5_529;324_209;58,6
8;Ardennes;Grand Est;Charleville-M_zières;5_229;277_752;53,1
9;Ariege;Occitanie;Foix;4_890;152_499;31,2
10;Aube;Grand Est;Troyes;6_004;309_056;51,5
11;Aude;Occitanie;Carcassonne;6_139;366_957;59,8
12;Aveyron;Occitanie;Rodez;8_735;279_169;32
13;Bouches-du-Rhone;Provence-Alpes-CÈte d'Azur;Marseille;5_088;2_016_622;396,4
14;Calvados;Normandie;Caen;5_548;693_579;125
15;Cantal;Auvergne-RhÈne-Alpes;Aurillac;5_726;146_219;25,5
16;Charente;Nouvelle-Aquitaine;Angoulême;5_956;353_613;59,4
17;Charente-Maritime;Nouvelle-Aquitaine;La Rochelle;6_864;639_938;93,2
18;Cher;Centre-Val de Loire;Bourges;7_235;308_992;42,7
19;Correze;Nouvelle-Aquitaine;Tulle;5_857;241_871;41,3
2A;Corse-du-Sud;Corse;Ajaccio;4_014;152_730;38
2B;Haute-Corse;Corse;Bastia;4_666;174_553;37,4
21;Cete-d'Or;Bourgogne-Franche-Comt_;Dijon;8_763;533_147;60,8
22;Cetes d'Armor;Bretagne;Saint-Brieuc;6_878;598_357;87
23;Creuse;Nouvelle-Aquitaine;Gu_ret;5_565;120_365;21,6
24;Dordogne;Nouvelle-Aquitaine;P_rigueux;9_060;415_417;45,9
25;Doubs;Bourgogne-Franche-Comt_;Besançon;5_233;536_959;102,6
26;Dreme;Auvergne-RhÈne-Alpes;Valence;6_530;504_637;77,3
27;Eure;Normandie;Ûvreux;6_040;601_948;99,7
28;Eure-et-Loir;Centre-Val de Loire;Chartres;5_880;434_035;73,8
29;Finistere;Bretagne;Quimper;6_733;907_796;134,8
30;Gard;Occitanie;N”mes;5_853;738_189;126,1
31;Haute-Garonne;Occitanie;Toulouse;6_309;1_335_103;211,6
32;Gers;Occitanie;Auch;6_257;190_932;30,5
33;Gironde;Nouvelle-Aquitaine;Bordeaux;9_976;1_548_478;155,2
34;Herault;Occitanie;Montpellier;6_101;1_120_190;183,6
35;Ille-et-Vilaine;Bretagne;Rennes;6_775;1_042_884;153,9
36;Indre;Centre-Val de Loire;Ch_teauroux;6_791;224_200;33
37;Indre-et-Loire;Centre-Val de Loire;Tours;6_127;604_966;98,7
38;Isere;Auvergne-RhÈne-Alpes;Grenoble;7_432;1_251_060;168,3
39;Jura;Bourgogne-Franche-Comt_;Lons-le-Saunier;4_999;260_587;52,1
40;Landes;Nouvelle-Aquitaine;Mont-de-Marsan;9_243;403_234;43,6
41;Loir-et-Cher;Centre-Val de Loire;Blois;6_343;333_050;52,5
42;Loire;Auvergne-RhÈne-Alpes;Saint-Ûtienne;4_781;759_411;158,9
